Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M Company,Industrials,175.63,2.62,22.58,7.78,19.34,134.00,176.08,106.52,8.57,3.54,9.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
ABT,Abbott Laboratories,Health Care,39.44,2.63,24.29,1.62,14.10,36.00,51.74,57.94,4.40,2.84,2.80,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Health Care,61.92,3.64,18.62,3.33,2.87,45.45,71.60,100.15,10.30,4.21,21.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture plc,Information Technology,113.10,1.94,19.11,5.92,11.45,88.43,120.78,70.41,5.42,2.18,9.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ATVI,Activision Blizzard,Information Technology,40.15,0.66,36.04,1.11,11.31,24.04,40.71,29.64,1.59,6.12,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AYI,Acuity Brands Inc,Industrials,246.99,0.21,40.35,6.12,36.50,168.33,264.00,10.74,0.5365,3.44,6.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
ADBE,Adobe Systems Inc,Information Technology,94.73,0.00,53.52,1.77,14.53,71.27,100.56,47.20,1.53,8.90,6.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AAP,Advance Auto Parts,Consumer Discretionary,161.19,0.15,24.64,6.54,35.82,131.59,201.24,11.83,1.24,1.22,4.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AES,AES Corp,Utilities,12.20,3.57,28.71,0.43,4.86,8.22,13.38,8.04,3.57,0.56,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET,Aetna Inc,Health Care,119.70,0.83,18.03,6.64,47.96,92.42,125.47,41.97,5.40,0.69,2.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG,Affiliated Managers Group Inc,Financials,134.19,,15.03,8.93,53.30,115.97,220.72,7.22,0.916,3.02,2.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL,AFLAC Inc,Financials,71.50,2.38,11.77,6.07,48.22,51.41,72.81,29.60,4.49,1.40,1.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies Inc,Health Care,43.75,1.03,31.12,1.41,12.79,33.12,46.68,14.24,0.844,3.48,3.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products & Chemicals Inc,Materials,138.49,2.44,54.67,2.53,32.01,114.64,152.16,29.93,2.98,3.13,4.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
AKAM,Akamai Technologies Inc,Information Technology,54.25,,30.65,1.77,17.69,39.43,76.98,9.53,0.6981,4.26,3.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALK,Alaska Air Group Inc,Industrials,58.63,1.87,8.47,6.92,19.81,54.51,87.17,7.23,1.72,1.27,2.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
ALB,Albemarle Corp,Materials,79.90,1.50,17.34,4.61,31.53,41.37,84.99,8.97,0.95275,2.47,2.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
AA,Alcoa Inc,Materials,9.26,1.26,,-0.44,9.25,6.14,11.50,12.18,2.67,0.56,1.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AA
ALXN,Alexion Pharmaceuticals,Health Care,117.64,,177.97,0.66,35.96,110.56,208.88,26.35,0.97872,9.74,3.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALLE,Allegion,Industrials,68.01,0.70,39.59,1.72,0.77,52.95,69.69,6.51,0.4506,3.08,88.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
AGN,Allergan plc,Health Care,236.00,0.10,21.12,11.18,183.41,195.50,340.34,93.35,6.57,5.73,1.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
ADS,Alliance Data Systems,Information Technology,193.68,,21.83,8.87,29.51,176.63,307.78,11.42,1.52,1.75,6.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
LNT,Alliant Energy Corp,Utilities,40.87,2.91,24.49,1.67,16.58,27.14,40.98,9.28,0.994,2.90,2.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL,Allstate Corp,Financials,69.31,1.90,16.92,4.10,49.58,54.12,69.95,25.95,3.26,0.73,1.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc Class A,Information Technology,704.89,,28.68,24.58,179.92,541.20,810.35,483.95,25.51,6.21,3.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG,Alphabet Inc Class C,Information Technology,694.49,,28.26,24.58,179.92,516.11,789.87,476.81,25.51,6.11,3.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO,Altria Group Inc,Consumer Staples,69.61,3.27,25.12,2.77,1.40,47.41,70.15,136.16,9.06,7.12,49.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon.com Inc,Consumer Discretionary,728.10,,300.12,2.43,31.26,428.83,731.50,343.54,9.09,3.03,23.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AEE,Ameren Corp,Utilities,53.76,3.16,20.86,2.58,28.31,37.92,54.08,13.04,2.18,2.26,1.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AAL,American Airlines Group,Industrials,28.93,1.36,2.59,11.16,8.04,24.85,47.09,16.73,8.83,0.41,3.60,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
AEP,American Electric Power,Utilities,70.81,3.19,18.17,3.90,36.90,52.29,70.92,34.79,4.95,2.19,1.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express Co,Financials,59.15,1.81,11.81,5.01,21.80,50.27,81.66,56.25,0.00,1.82,2.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,"American International Group, Inc.",Financials,51.21,2.42,,-0.37,78.28,48.41,64.93,57.31,5.83,1.06,0.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower Corp A,Financials,113.83,1.75,73.72,1.54,16.33,83.07,114.50,48.33,3.07,9.70,6.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK,American Water Works Company Inc,Utilities,84.76,1.66,31.85,2.66,28.59,50.01,85.24,15.06,1.53,4.70,2.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP,Ameriprise Financial,Financials,86.85,3.34,10.23,8.49,42.52,76.00,129.22,14.40,3.28,1.21,2.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
ABC,AmerisourceBergen Corp,Health Care,80.36,1.70,11.75,6.84,9.78,73.31,115.41,17.35,1.75,0.12,8.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC
AME,Ametek,Industrials,45.17,0.77,18.58,2.43,14.12,42.82,57.67,10.54,1.07,2.68,3.20,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen Inc,Health Care,154.27,2.59,16.32,9.45,38.18,130.09,181.81,115.89,10.99,5.23,4.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol Corp A,Industrials,55.97,0.98,23.91,2.34,11.01,44.50,60.17,17.23,1.31,3.03,5.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
APC,Anadarko Petroleum Corp,Energy,53.61,0.36,,-8.77,22.90,28.16,78.59,27.36,2.52,3.21,2.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC
ADI,"Analog Devices, Inc.",Information Technology,55.36,2.97,26.87,2.06,15.86,47.24,64.16,17.01,1.23,5.02,3.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
